,alias,name,url,review_count,categories,rating,price,distance,tags,group
0,the-calaveras-new-york,The Calaveras,https://www.yelp.com/biz/the-calaveras-new-york?adjust_creative=TKz2edtltxgYtPzgSrH9EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TKz2edtltxgYtPzgSrH9EQ,103,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,2.0,4963.939652888454,"['bars', 'mexican', 'tapas', 'small', 'plates', '2']",4
1,las-catrinas-mexican-bar-and-eatery-astoria,Las Catrinas Mexican Bar & Eatery,https://www.yelp.com/biz/las-catrinas-mexican-bar-and-eatery-astoria?adjust_creative=TKz2edtltxgYtPzgSrH9EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TKz2edtltxgYtPzgSrH9EQ,301,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,2.0,642.5257707161409,"['mexican', 'cocktail', 'bars', '2']",4
2,chanos-cantina-astoria,Chano's Cantina,https://www.yelp.com/biz/chanos-cantina-astoria?adjust_creative=TKz2edtltxgYtPzgSrH9EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TKz2edtltxgYtPzgSrH9EQ,165,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]",4.0,2.0,1290.4274875130448,"['cocktail', 'bars', 'new', 'mexican', 'cuisine', '2']",4
3,maizal-restaurant-and-tequila-bar-astoria-2,Maizal Restaurant & Tequila Bar,https://www.yelp.com/biz/maizal-restaurant-and-tequila-bar-astoria-2?adjust_creative=TKz2edtltxgYtPzgSrH9EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TKz2edtltxgYtPzgSrH9EQ,295,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,2.0,900.4510911871263,"['mexican', 'cocktail', 'bars', '2']",4
4,juquila-kitchen-and-bar-long-island-city,Juquila Kitchen and Bar,https://www.yelp.com/biz/juquila-kitchen-and-bar-long-island-city?adjust_creative=TKz2edtltxgYtPzgSrH9EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TKz2edtltxgYtPzgSrH9EQ,98,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,2.0,1829.2490057875727,"['new', 'mexican', 'cuisine', 'tacos', 'cocktail', 'bars', '2']",4
